,artist_names,artist_bios
816,Hans Findling,"Using the dramatic angles and natural lighting, a German photographer Hans Findling creates the impressive collection of landscapes.
"
817,April Gornik,"April Gornik is an American fine artist famous for her landscape paintings, drawings and prints of the sea, lakes, fields, rain and storms."
818,Ahn Hyun-Ju,"Ahn Hyun-Ju is a Korean abstract artist, who takes an experimental approach in her research of painting techniques and colour associations.
"
819,Pedro Proenca,"Pedro Proenca is the youngest of a generation of Portuguese painters now gaining international recognition.
"
820,Alain Jacquet,"Alain Jacquet was a French artist representative of the American Pop Art movement. 
"
821,Mojoko,"Born in Iran and raised in Hong Kong, Mojoko, whose real name is Steve Lawler, explores the Trash Pop culture as an artist, designer, and creative director."
822,Emily Eveleth,"Emily Eveleth is an American painter known for her large-scale still life works depicting oversized familiar objects.
"
823,Francine Tint,"Francine Tint is a New York-based American artist whose paintings can be described as modern and dynamic abstract compositions full of life and energy.
"
824,Ayako Rokkaku,"Ayako Rokkaku is a Japanese contemporary artist known for paintings and drawings similar to Anime movement and are emphasized by the use of bright colors and simple details.
"
825,Miguel Berrocal,"Miguel Ortiz Berrocal was an award-winning Spanish figurative and abstract sculptor who is best known for his puzzle sculptures which can be disassembled into many abstract pieces. 
"
826,Gillie and Marc,"Gillie and Marc are widely recognized contemporary artists (and husband-and-wife) who have been working together over three decades.
"
827,Claude Tetot,"Claude Tetot is a French abstract artist whose work explores the enigmatic unity that can exist between seemingly disparate elements.
"
828,Marie Louise Sorbac,"Marie Louise Sorbac is a sculptor who was born in 1959, in Buenos Aires, Argentina. She is currently based in Paris, France.
"
829,Royce Bannon,"Royce Bannon is a Dutch artist best known for his iconic Monsters pasted on doors and walls throughout the Netherland.
"
830,Laurent Grasso,"Laurent Grasso is a French artist who works in a wide range of mediums including film, sculpture, painting and photography."
831,Audrey Barcio,"Audrey Barcio is an American abstract artist whose recent paintings examine where the heritage of Modernism intersects with the tools of the Virtual Industrial Age.
"
832,Ana Mercedes Hoyos,"Ana Mercedes Hoyos was a Colombian artist known for her paintings and sculptures. She began her career in a Pop-Art style, moving on to abstraction.
"
833,Marine De Soos,"Marine De Soos is a French contemporary artist known for her poetic bronze sculptures. She draws inspiration from her memories and travels.
"
834,Asgar/Gabriel,"Asgar and Gabriel are performing as an artistic duo and their painterly based practice is based on hybridity, appropriation and humor."
835,Gabriel de la Mora,"Gabriel de la Mora is best known for constructing visual works from found, discarded, and obsolete objects through meticulous craftsmanship."
836,Markus Linnenbrink,"Markus Linnenbrink creates colorful drip paintings and striped room-size environments, evoking the stripe paintings of Morris Louis and Gene Davis."
837,Matthias Zinn,
838,Torolab,"Torolab identifies situations or phenomena of interest for research, basing the studies in the realm of life styles to better grasp the idea of quality of life."
839,Mary Sibande,Mary Sibande uses a range of different mediums to depict the human form and explore the construction of identity in a postcolonial South African context.
840,Allyson Strafella,"§Working with a typewriter, the American artist Allyson Strafella has been making drawings for more than 20-years."
841,Jac Leirner,Jac Leirner is best known for the sculptures and installations created from mundane objects and ephemera.
842,Tiago Carneiro da Cunha,"A Brazilian artist, Tiago Carneiro da Cunha is best known for small, imperfectly finished ceramic figurative sculptures."
843,Camila Sposati,
844,Alice Baber,Alice Baber is best known for exploring the infinite range of possibilities of color and light within and from the form of the circle.
845,Natalia Koren Kropf,"Natalia Koren Kropf is a Russian-born artist working in drawing, printmaking, collage, water-based painting, ceramic sculpture, and photography."
846,Elena Seroff,Elena Iosilevich is a Russian-American artist whose paintings are inspired by the great Impressionists as well as old masters of the Renaissance period.
847,Max Johnston,
848,John Meredith,
849,Juan Ripolles,"Juan Ripollés is a Spanish contemporary artist widely known for his colorful paintings and prints, and large-format sculptures."
850,Rasha Eleyan,"Rasha Eleyan is a Dubai-born Palestinian artist who combines her classical style with her love of cartoons to create a truly unique style.
"
851,Bea Garding Schubert,Bea Garding Schubert is a German contemporary artist whose abstract paintings are driven by the idea of inspiring hope and happiness.
852,Torge Steffens,"Torge Steffens is a German contemporary designer and painter, whose works are especially inspired by nature and urban surroundings."
853,Giulia Puntel,Giulia Puntel is a Brazilian contemporary painter known for her figurative works. She studied Plastic Arts at Guignard School (UFMG).
854,Rob Burman,"Rob Burman is a contemporary American sculptor and Special makeup effects artist, who worked on such films as The Thing, Ghostbusters, and The Fly."
855,Darae Jeon,"Darae Jeon is a Korean contemporary abstract artist who uses luminous, cool colors and whimsical, calligraphic lines to build her paintings."
856,Diana Krinninger,German painter Diana Krinninger employs compositional strategies related to landscape and still life painting to create abstract works.
857,Douglas Melini,"Douglas Melini is an American contemporary painter. He received his Bachelor of Arts from Maryland, College Park in 1994."
858,Nuge,Nuge is a contemporary artist who creates organic forms out of wood that are in stark contrast to the hard lines and rigid nature of architecture.
859,Kathleen Jacobs,Kathleen Jacobs is an American artist known for her lyrical yet minimal canvases that engage both with the natural world and late 20th-century minimalism.
860,Zachari Logan,"Zachari Logan is a Canadian contemporary artist who uses large-scale drawing, ceramics, and installation practices to create a stunning visual language."
861,Lars von Trier,"With a prolific career spanning over four decades, Lars von Trier is an award-winning Danish film director and screenwriter."
862,Petra Schott,Petra Schott is a German contemporary artist whose recent works oscillate between subtle figuration and lyrical abstraction.
863,Ondrej Oliva,Ondřej Oliva is a Czech sculptor working with aluminum and bronze. He aims to create visually exciting and attractive objects.
864,Piotre,"Piotre is a French artist whose works question the boundaries of our daily lives, inviting the viewer to extend the story of his own experience."
865,Hope 1393,"Hope 1393 is a French artist. Inspired by feminine beauty, style and character, he’s known for very contrasting portraits between black and colors."
866,Majic Monster,Majic Monster is an American contemporary artist whose work revolves around colorful monsters and critters that are often depicted as cute.
867,Pavlina Kvita,"Evoking human or animal figures, the sculptures by the Czech artist Pavlína Kvita give shape to the images from her inner universe."
868,Matthew Heller,Matthew Heller is an American artist known for his minimal paintings that use printed text to explore how language is recontextualized and interpreted.
869,Valeria Nascimento,"Drawing inspiration from the natural world, Valéria Nascimento is a Brazilian artist known for her poetically refined ceramic sculptures and installations."
870,Johanna Kestila,"Inspired by people and raw feelings, Johanna Kestilä is a Finnish artist who creates visual works that dynamically combine movement and chance."
871,Nikolina Petolas,"Known for her contemporary surrealist pieces, Nikolina Petolas is a Croatian photographer and visual artist working in various techniques."
872,Marc Brousse,"Marc Brousse is a French artist who developed a singular style named traitillism, by reconditioning a technique discovered by Paul Clodel Cauchard."
873,Sonya Revell,More details will be coming shortly.
874,Nian,"Nian is an Italian artist whose female figures gather the sacredness of the present and the spirit of the earth, embracing the atavistic strength."
875,Julien Delagrange,"Julien Delagrange is a Belgian figurative painter who explores the human condition from a universal, contemporary and anthropological perspective."
876,Ham Sup,"Ham Sup is a Korean artist known for his abstract works. He utilizes the medium of hanji, traditional Korean paper made from the bark of mulberry trees."
877,George Dawnay,George Dawnay is a British artist best known for his figural drawings. He studied at the Heatherly School in London and the Florence Academy of Art.
878,Capucine Safir,Capucine Safir is a French artist who explores Nature and its random and pure forms. She entered the world of art through direct carving in stone.
879,Jim Dicke,More details will be coming shortly.
880,Mel Prest,"Mel Prest is an American artist, curator, and educator, whose non-objective work is focused on color and perceptual visual relationships.
"
881,Jason Dussault,"Jason Dussault is a Canadian contemporary artist, widely known and recognized for his stunning and intricate ceramic mosaics."
882,Nalini Malani,"Nalini Malani is one of the leading contemporary Indian artists. She is known for lush, politically charged mixed-media paintings, drawings, and videos."
883,Anastasia Khoroshilova,"Anastasia Khoroshilova is a Russian photographer best known for her portraits and landscapes saturated with social and political observations of the past.
"
884,Sherman Beck,"Sherman Beck is an established painter and a former member of the influential Africobra: African Commune of Bad Relevant Artists. 
"
885,Alfred Conteh,The American artist Alfred Conteh creates work that communicates his life experiences and personal truths to the African American community.
886,Michel Perez Pollo,Michel Perez Pollo is best known for abstract-figurative works that are meant to avoid faithful accuracy in favor of a universal expression.
887,James Howell,"The American artist James Howell was best known for an ongoing body of work titled Series 10, that explored the gradations of particular grays."
888,Nona Faustine,"An American photographer and visual artist, Nona Faustine is known for exploring history, identity, representation."
889,Ian Laurie,"Ian Laurie is a British artist whose work has evolved from sketches, limited edition etchings, to paintings. He often depicts the Cornish landscape.
"
890,Gordon Anderson,"The practice of the Canadian artist Gordon Anderson captures the raw beauty of monumental settings that, appears empty and devoid of any aesthetic value."
891,Tommy Flynn,"Tommy Flynn is an American photographer based in New York. His most recent series is titled Sliced Open, and it’s a unique and vibrant art project.
"
892,Jan De Ruth,"Jan De Ruth was a Czech-American artist best known for his figurative paintings. The dominant theme of his works was the human body.
"
893,Lauren Bilanko,"Lauren Bilanko is an American photographer. She studied Fine Arts and has been a professional photographer since 1999.
"
894,Alan Herr,"Alan Herr was an American photographer, perhaps best known for his shots of musical performances, most notably Frank Zappa and Jimi Hendrix.
"
895,Ralph Fasanella,"Ralph Fasanella was a prolific American painter who depicted urban working life and social injustices faced by the working class.
"
896,Herbert Aach,"Herbert Aach, aka Herb Aach, was an American writer and artist, whose painting style was known for its intense and well-placed pigmentation."
897,Peter Mayer,"Peter Mayer, aka the Dog Man of Soho, is an American painter who achieved international fame for his depictions of dogs on the streets of New York City.
"
898,Rita Simon,"Rita Simon, also known as Atirnomis, is an American contemporary artist widely known and recognized for her complex and dream-like prints."
899,Jim Budish,"Jim Budish is an American artist best known for his unique sculptures of animals, created using a minimalist approach and simple economy of line."
900,Judy Cheng,Judy Cheng is a Canadian contemporary artist widely known and recognized for her evocative and energetic landscapes and winter scenes.
901,John Joseph Hanright,"John Joseph Hanright is an American artist known for his thought-provoking and sexy combinations of Conceptual Art, Americana, and Pop culture."
902,David Robinson,"David Robinson is a Canadian artist known for his sculptures that incorporate a variety of materials, including bronze, steel, and silver."
903,Blu Smith,Blu Smith is a Canadian contemporary artist who was originally creating figurative paintings but has since shifted towards abstraction.
904,Bill Starke,Bill Starke is an American sculptor whose anatomical knowledge plays a vital role in the development of his work and choice of the subject matter.
905,Dannielle Tegeder,"Dannielle Tegeder is an American contemporary artist best known for her abstract paintings and drawings. She lives and works in Brooklyn, New York."
906,Monica Shulman,"Monica Shulman is an American artist of Cuban and Argentinian descent, whose brand of gestural abstraction is a form of storytelling."
907,Idris Habib,"Idris Habib, also known as Sir Idris, is an African-American artist whose work radiates vibrant colors and an obvious sense of culture,"
908,Caroline Vis,"Born in the Netherlands, Caroline Vis is a contemporary artist who creates abstract expressionist paintings, often on a large scale."
909,Francisco Montoya Cazarez,Francisco Montoya Cázarez is a Mexican artist interested in combining his personal experiences with the broader socio-cultural context.
910,James Little,James Little is an American painter widely known and recognized for his geometrical abstractions. He studied at the Memphis Academy of Art.
911,Radina Stoimenova,"Radina Stoimenova is a Bulgarian artist interested in displaced objects, forlorn places with no importance, buildings of no architectural value."
912,Mark Beard,"In addition to being a noted stage designer, Mark Beard is an American contemporary artist who creates prints, paintings, and sculptures."
913,Pegaz,"Pegaz is a French self-taught street and graffiti artist influenced by Pop Art. In recent years, the stencil has become his specialty."
914,Clement Herrmann,"Clément Herrmann is a French artist whose work is evolving. Currently, he’s working on a series of portraits representing the children of his family."
915,Hico,"Nicolas Sarpy, better known as Hico, is a French artist who feeds on the news and his daily life to express his art. He likes to paint on wood and canvas."
916,Roby Dwi Antono,"Drawing upon themes of heroism, pop culture, and macabre humor, Roby Dwi Antono is an Indonesian artist known for his surrealist works."
917,Christophe Dupety,Christophe Dupety is a French contemporary artist whose paintings portray the vivacity and spontaneity of movement free of all interference.
918,Demarcus McGaughey,"Demarcus McGaughey is an American mixed media artist who passionately captures the beauty, strength, and vibrancy of people of color."
919,Jesus Pedraglio Belmont,More details will be coming shortly.
920,Frank Stella,"Frank Stella is an American painter and printmaker who dedicated his career to experimenting with minimalistic concepts, diverse materials and varied surfaces."
921,Nan Goldin,"Nan Goldin is a critically celebrated photographer whose uncompromising work often deals with groups on the margins in an often controversial manner.
"
922,Christo and Jeanne-Claude,Christo and Jeanne-Claude Denat were one of the most iconic artistic couples of the 20th century and pioneers of environmental art.
923,Nick Gentry,"Nick Gentry is a British contemporary artist known for creating peculiar futuristic assemblages using floppy discs, x rays, and vintage film negatives."
924,Hans Hartung,"Hans Hartung was an established German artist mostly known for his gestural abstract style and contributions to the European Art Informel movement.
"
925,Mimmo Rotella,"Mimmo Rotella was an Italian artist best known for his “double décollages,”and was also a member of the French Nouveaux Réalistes group.
"
926,Jean Dubuffet,Jean Dubuffet was a French painter and sculptor who dedicated his career to creating primitive and childlike pieces around which Art Brut movement was formed.
927,Friedel Dzubas,"Friedel Dzubas was a German-born American Color Field painter, born in 1915 in Berlin. He was one of a pioneers of the stain painting technique.
"
928,Romare Bearden,"Romare Bearden was an American artist who depicted African-American life. He worked with many types of media including cartoons, oils and collages."
929,Saul Steinberg,"Saul Steinberg was a Jewish Romanian-born American cartoonist and illustrator. He described himself as - a writer who draws.
"
930,Jack Youngerman,"Jack Youngerman was an American artist, who worked in multiple media, and belonged to Minimalism, Hard-Edge painting and Abstract art movements.
"
931,James Siena,"James Siena is a New York based artist whose complex, rule-based linear abstractions have situated him firmly within the trajectory of modern American art."
932,John Sonsini,"John Sonsini, born in 1950, is an American painter working with oils. He is best known for his portraits of Latino laborers."
933,Xavier Veilhan,"Xavier Veilhan is a French artist who lives and works in Paris. His work includes photography, sculpture, film, painting and installation art."
934,Jannis Kounellis,"Jannis Kounellis was a Rome-based Greek painter, performance artist and sculptor associated with Arte Povera since the 1960s. 
"
935,Arthur Dorval,"Arthur Dorval is a prominent French painter, best known for his vibrant and brightly colored paintings. He belongs to Geometric Abstraction movement.
"
936,L'Outsider,L'Outsider is a French artist whose work can be described as abstraction deeply influenced by typography and graffiti movement.
937,Frank Gerritz,"Frank Gerritz is a German sculptor born in 1964 in Hamburg. In 2010, he won Edwin-Scharff-Prize. Gerritz lives and works in Hamburg, Germany."
938,Anthony Quinn,"Anthony Quinn was a Mexican-born American actor, artist and writer. Besides acting, his vast creative expression also included sculpture, paintings, and drawings."
939,Marc C. Woehr,"Marc C. Woehr is a German contemporary artist who began his artistic journey on the streets and is widely known for his wood reliefs. 
"
940,Anna Maria Maiolino,"Anna Maria Maiolino is a Italian-Brazilian artist who makes books, drawings, sculptures and works with video art. Her work is personal and deeply political."
941,Betty Parsons,"Betty Parsons was an American artist, art dealer and collector, known as one of the earliest promoters of abstract expressionism.
"
942,Maurice Tabard,"Maurice Tabard was a French photographer and one of the main photographers of the Surrealism movement. He was influenced by Man Ray.
"
943,Dinh Q. Le,"Dinh Q. Le is a Vietnamese American fine arts photographer, born in 1968, best known for his woven-photographs, which consist of several layers."
944,Antoine Cordet,Antoine Cordet is a French contemporary artist who is working primarily with acrylics on canvas known for his melancholic portraits which are a synthesis of realism and abstraction.
945,Helio Oiticica,"Hélio Oiticica was a Brazilian artist best known for his participation in the Neo-Concrete Movement, his innovative use of color and his environmental art."
946,Omar Rayo,"Omar Rayo Reyes was a renowned Colombian painter, sculptor, caricaturist and plastic artist who worked with abstract geometry and won the 1970 Salón de Artistas Colombianos. 
"
947,Ivan Argote,"Ivan Argote is a Paris-based Colombian artist whose works in a wide range of media including films, sculptures, collages, and public space installations."
948,Deanna Sirlin,"Deanna Sirlin is an American abstract artist best known for her gestural paintings and monumental installations.
"
949,Raffi Kalenderian,Raffi Kalenderian is an American artist born in 1981. His work was included in various solo and group exhibitions.
950,Sam Bolton,"Sam Bolton is a photographer, PR and Art consultant. He is also an Event Promoter. He currently lives and works in New York City.
"
951,Christopher Makos,"Christopher Makos is an American artist and photographer who was born in 1948, in Lowell, Massachusetts. He lives and works in New York, NY. 
"
952,Sybil Gibson,"Sybil Gibson was an American artist born in 1908, in Dora, Alabama. Her work has been exhibited in more than fifty solo exhibitions."
953,Kim Uchiyama,"Kim Uchiyama is an American abstract artist whose works use color to create light and form which activate the metaphysical potential of pictorial space. 
"
954,Faile,"FAILE's art reaches beyond the urban art niche to touch a generation. The duo's work uses imagery associated with popular culture to examine complex, and often neglected, metaphysical issues facing the artists' epoch.
"
955,Augustine Kofie,"Augustine Kofie, aka KofieOne, is an American artist who has formed a retro-futuristic aesthetic which transplants these shapes and angles into a soulful, organic, yet highly mathematical form of abstraction.
"
956,PEETA,"Peeta is an Italian graffiti artist who plays with the concept of letters, transposing the notion to graffiti art, painting, and sculpture. 
"
957,Ben Frost,"Ben Frost  is an Australian performance and visual artist  best  known for his kaleidoscopic Pop Art, mash-up paintings that take inspiration from areas as diverse as graffiti, collage, photo-realism and sign-writing.
"
958,Remed,"Alby Guillaume aka Remed is a French artist known for his brightly-colored large-scale murals and canvas works, recognizable for their strong shapes.
"
959,Jasper Johns,"Jasper Johns is a famous American painter responsible for some of the most innovative novelties that came with the 20th-century contemporary art.
"
960,Sol LeWitt,"One of the establishers of the Conceptual and Minimalistic art, Sol LeWitt was best known for his wall drawings and geometrical sculptures. 
"
961,Richard Serra,"Richard Serra is one of the most acclaimed living American artist best known for his both minimalist and monumental, site-specific steel sculptures."
962,Nobuyoshi Araki,"Nobuyoshi Araki is a celebrated Japanese photographer whose work revolves around female eroticism and his fascination with the city of Tokyo.
"
963,Eric Fischl,"Eric Fischl was born in New York City on March 9, 1948. He is noted as an American painter, sculptor and printmaker.
"
964,Eduardo Chillida,"Eduardo Chillida was an established Spanish artist known for striking and monumental abstract sculptures often executed at peculiar public places. 
"
965,Mimmo Paladino,"Mimmo Paladino (Domenico Paladino) is an Italian artist born on 18 December 1948 in Paduli, Campania, southern Italy. He is known as a sculptor, painter and printmaker.
"
966,Bert Stern,"Bert Stern is an American commercial and fashion photographer, born in 1929, who is considered as one of the legendary figures in contemporary photography. He is best known for his stylized black and white images."
967,Jesus Rafael Soto,"Thanks to the deep understanding of negative space and geometry, Venezuelan artist Jesús Rafael Soto became one of the pioneers of kinetic and op art."
968,Helen Frankenthaler,"Helen Frankenthaler was an American painter held in high regard due to her pieces which are now accepted as iconic artworks of Abstract Expressionism.
"
969,Mark Tobey,"Mark Tobey was an American painter regarded as a pioneer of Abstract Expressionism. He is best known for his delicate, abstract works done in a style called white writing.
"
970,Carmen Herrera,Carmen Herrera was a Cuban minimalistic painter whose fantastic art was hidden from the public for over six decades but was re-discovered in the year 2004.
971,Lucien Clergue,"Lucien Clergue was a filmmaker, author, and photographer known for his masterful compositions and innovative use of light and shadow. 
"
972,Frederic Prat,"Frédéric Prat is a French contemporary artist known for his abstract paintings with monochrome backgrounds and luminous acrylic forms. 
"
973,Max Ernst,"Max Ernst was a German-born painter, sculptor and printmaker, one of the leading figure in the Dada and surrealist movements. 
"
974,Leonor Fini,"Leonor Fini was an Argentinian surrealist artist born in 1907, considered as one of the most important women artists of the mid-20th century."
975,Wim Delvoye,"A Neo-conceptual artist, Wim Delvoye is known for his inventive and often shocking projects, often focusing on the human body and its functions."
976,Jonas Wood,"Jonas Wood is an American contemporary artist, for whom collage, drawings, and photographs are only part of the larger plan of creating paintings."
977,Aaron Wexler,"Aaron Wexler, born in 1974, is an American artist who makes layered acrylic and paper collages on surfaces of panel and paper. 
"
978,Hernan Bas,"Hernan Bas is an American artist born in 1978 in Miami. Inspired by literary sources, Bas paints boys on the threshold of sexual self-discovery always in fantastical, almost utopian settings."
979,Julian Stanczak,"Julian Stanczak was a Poland-born American artist who explored the visual, psychological, and emotional resonance of color in his Op art paintings.
"
980,Troy Brauntuch,"Troy Brauntuch is an American contemporary artist, known for his characteristic photo-based works and paintings created with Conté crayon on dark cotton."
981,James Brown,"James Brown was an American painter, who shared the name with the famous American singer and dancer.
"
982,Vincent Abadie Hafez,"Vincent Abadie Hafez also known as Zepha is a French artist whose work is strongly inspired by traditional and contemporary Arabic calligraphy.
"
983,The Connor Brothers,The Connor Brothers is the pseudonym of a British artist duo composed of Mike Snelle and James Golding best known for their collages.
984,Nicola de Maria,"Nicola de Maria is an Italian painter, born in Foglianise, in 1954. He is one of five principal artists of the Italian Transavantgarde movement.
"
985,Jorge Rodriguez-Gerada,"One of the founding members of the Culture Jamming movement in New York, Jorge Rodriguez-Gerada is a Cuban-American street and land artist.
"
986,Tam Van Tran,"Tam Van Tran is a Vietnamese artist born in 1966. His work is comprised of abstract paintings, mixed-media collages, ceramic tiles, and sculpture."
987,Leonardo Nierman,"Leonardo Nierman is a Mexican artist known for his sculpture and paintings. He is also a violinist, and that fact influenced greatly his artworks regarding movement and harmony.
"
988,Jonty Hurwitz,"Jonty Hurwitz is a South African artist, best known for his anamorphic and catoptric sculptures that enter the mind-bending world of illusion.  
"
989,Thilo Heinzmann,Thilo Heinzmann is a Berlin-based contemporary artist known for his  create his three-dimensional canvases made from unusual materials.
990,Rita McBride,Rita McBride is an American artist famous for her large-scale works and sculpture-based installations.
991,Max Zorn,Max Zorn is a Dutch artist who uses brown packing tape as a medium to create portraits that need lighting from behind to be seen.
992,Tien Wen,"Tien Wen is a Taiwanese artist who was born in 1963. He is currently based in Montpellier, France.
"
993,Robert van Bolderick,"Robert van Bolderick is an artist who works as an artist mostly in mixed media that combines acrylic, oil, tempera, to the praxis of college.
"
994,Michael Cusack,"Michael Cusack is an Irish-born painter, based in Byron Bay, Australia. He received his Diploma of Fine Arts from the Hunter Institute of Technology."
995,Charles Dufresne,"Charles Dufresne was a versatile French artist, widely known and recognized for his paintings, engravings, sculptures, and decorations."
996,Gunter Damisch,Gunter Damisch is a distinguished Austrian painter best known for his expressive abstraction established through the 1980s Neue Wilde movement.
997,Ai Kijima,"Japanese contemporary artist Ai Kijima is best known for works that are based on three simple elements - cloth, needle and thread.
"
998,David Murphy,"David Murphy creates works that spans sculpture, work on paper and painting, touching upon the various manifestations of human activity and its impact on the environment."
999,Raymundo Colares,"Known for representing the dynamism and speed of modern life, Raymundo Colares was part of the experimental Brazilian art scene of the late 1960s."
1000,Steve Moors,"Steve Moors is a British/American artist who has been involved in a multitude of disciplines, such as painting, illustration, and graphic design."
1001,Xiao Guo Hui,
1002,Janieta Eyre,
1003,Alexander Rasmussen,
1004,David Cantine,
1005,Kevin Red Star,"Kevin Red Star is a Native American artist respected for his unique imagery, his artistic productivity, and the enduring value of his work."
1006,Jim Jacobs,"Jim Jacobs is an American contemporary artist best known for his minimalist lacquer paintings and abstractions based on aerial landscape.
"
1007,Jonathan Singer,"Jonathan Singer is an American podiatrist and award-winning photographer whose works often feature nature motifs, such as flowers."
1008,Marcia Marx,"Marcia Marx was a versatile American artist who created satirical paintings, sculptures and lithographs. Her works were often dark."
1009,Jon D'Orazio,"Jon D'Orazio is an American contemporary painter and sculptor. In 1989, he adopted abstraction, having previously painted figurative landscapes.
"
1010,Joseph Solman,"Joseph Solman was an American painter and the co-founder of The Ten, a group of New York City Expressionist painters in the 1930s."
1011,Jon Naar,Jon Naar was a British-American author and photographer celebrated for his pioneering images of New York City graffiti in the 1970s.
1012,Claire Tabouret,"Claire Tabouret creates figurative paintings, drawings and sculptures that scrutinize identity, taking a closer look at childhood and its enigmas."
1013,Chaim Goldberg,"Chaim Goldberg was a Polish artist who created paintings, sculptures and engravings. He emigrated to the United States in 1967."
1014,Donald Saff,"Donald Saff is an American master printmaker, art historian, educator, and lecturer, specializing in the field of contemporary art."
1015,Oli Epp,"Oli Epp is a Canadian/British artist whose paintings deal with some of the tragicomic elements of the 21st century, such as the complexity of identity."
1016,Sharon Brill,"Mainly inspired by the sea, Sharon Brill is an Israeli contemporary artist who creates abstract organic sculptural shapes."
1017,Jallen,"Fascinated with nature and chaos, Jallen is a Canadian contemporary artist widely known and recognized for her paintings."
1018,Richard B. Smith,Richard B. Smith is an American contemporary artist known for his welded bronze and copper sculptures of trees and wildlife.
1019,Michael Soltis,"Born in Minot, North Dakota, Michael Soltis is an American/Canadian contemporary visual artist, home designer/builder, and actor."
1020,Tim Yankosky,Tim Yankosky is an American contemporary artist who finds inspiration and driving force in the materials he uses to create his works.
1021,Javier Calleja,"Javier Calleja is a Spanish contemporary artist who mostly creates paintings, drawings, and sculptures, known for their disproportionate scales."
1022,Robert Sagerman,"Merging painting, sculpture, and Jewish mysticism, Robert Sagerman is an American artist known for his intensely colored textural paintings."
1023,Alisa Sikelianos-Carter,"Alisa Sikelianos-Carter is an American mixed-media painter who creates a world that celebrates and pays homage to ancestral majesty, power, and aesthetics."
1024,Mihaela Ivanova,Mihaela Ivanova is a Bulgarian photographer who enjoys working with analog medium format cameras and prefers classic black and white photography.
1025,Laura Kaktina,"Based in Riga, Laura Kaktina is a Latvian contemporary artist whose paintings are inspired by zooming in and out of individuality."
1026,JuanCarlos rLora,JuanCarlos rLora is an artist whose work most often communicates surreal narratives as well as philosophical and scientific theories.
1027,Terry Pastor,"Arguably best known for his iconic album artwork for David Bowie's Hunky Dory and Ziggy Stardust, Terry Pastor is an artist and printmaker."
1028,Yoann Bonneville YBA,"Yoann Bonneville, aka YBA, is a French artist who likes to experiment with different techniques. He often uses acrylic, aerosol and superimposed collages."
1029,Matthew Sadergaski,"Matthew Sadergaski is an American artist whose work revolves around portraiture, pop culture, and social commentary. He is based in California."
1030,M.Koeur,"M.Koeur, aka Monsieur Koeur, is a French artist whose passion for painting and exploration makes him oscillate between studio work and creating outside."
1031,Wegs,"Nathan Wegner, better known as Wegs, is an American artist whose work is characterized by vibrant colors, pop culture, and organized chaos."
1032,Brunograffer,"Brunograffer is a French illustrator and painter whose style is very colorful, explosive and happy, perfectly representing him as a person."
1033,Tegan Brozyna Roberts,Tegan Brozyna Roberts is an American artist whose work draws from her background in painting as well as a long family tradition in textiles.
1034,Natalie Cheung,Natalie Cheung is an American artist whose work manifests physical expression through a combination of natural occurrences and her own gestures.
1035,Paul Wackers,"Paul Wackers is an American contemporary artist primarily engaged in figurative painting, which he tends to slightly abstract."
1036,Musah Swallah,More details will be coming shortly.
1037,Ziesook You,More details will be coming shortly.
1038,RJ Calabrese,More details will be coming shortly.
1039,Norman Wilkinson,"Norman Wilkinson was a British artist working with oil, watercolor, and drypoint, known for his marine subjects. He was also an illustrator and poster artist."
1040,Ren Hong,Ren Hong is a Chinese contemporary artist who utilizes patterns to carefully detail her crimson-tinged memories of living under Communist rule.
1041,Cecco Mariniello,"Cecco Mariniello is an Italian contemporary artist who paints invented landscapes that are more real than real ones, combining personal memories and myths."
1042,Carolyn Cole,"Carolyn Cole is an American artist whose abstract paintings possess intense color, sumptuous textures, and organic compositions."
1043,Dave Lowell,More details will be coming shortly.
1044,Seymour Chwast,Seymour Chwast is an American graphic designer and illustrator who has developed his innovative approach to design over the course of six decades.
1045,Daniele Buetti,Daniele Buetti is a Swiss multimedia artist who devotedly explores the domains of popular culture and the psychological effects it may produce.
1046,Yann Guillon,"Yann Guillon is a French sculptor whose creations are sometimes figurative and sometimes abstract, sometimes small and sometimes colossal.
"
1047,Johanna Billing,"A conceptual artist from Sweden, Johanna Billing works mainly with video, weaving together music, movement and rhythm."
1048,Matthew Ronay,"The hybrid forms of Matthew Ronay exist between a primordial and futuristic state, examining the relationship between human bodies and the world around us."
1049,Henrik Eiben,"A Herman-based contemporary artist, Henrik Eiben is known for multifaceted works that are full of deceptions and wilful contradictions."
1050,Jose Resende,"A Brazilian sculptor, José Resende is one of the founding members of the Rex Group, together with Carlos Fajardo, Luiz Paulo Baravelli and Frederico Nasser."
1051,Manoela Medeiros,"A Brazilian artist, Manoela Medeiros tries to address abstractions through questioning time and space."
1052,Tom Hodgson,
1053,Jean-Marie Haessle,"Jean-Marie Haessle is a French contemporary painter widely known for his abstraction and semi-abstractions. He has lived in the US since 1967.
"
1054,Raul Anguiano,"Raúl Anguiano was a famous Mexican painter of the 20th century. He belonged to the second generation of Mexican muralists.
"
1055,William Waithe,"William Waithe was an American artist known for painting outdoors, and is particularly identified with cityscapes. He died in 2005."
1056,Robert Squeri,"Robert Squeri was an American artist and educator, known for his printmaking skills. He used calligraphic imagery in his later works."
1057,Thomas W. Benton,"Thomas W. Benton was an American artist whose work continued to evolve from political posters to abstract silkscreen prints, monotypes and oil paintings.
"
